eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 1419,Facilites,4304,Air Conditoning Units,,Goodman,GSX1360 5 ton,,0,4/2/2022 10:16 AM
EQ ID 1420,Facilites,4304,Sprinkler Systems,,,,,0,4/2/2022 10:16 AM
EQ ID 337,Shower Seats,1140,Drill Press- for drilling rings and pivot tube,,,,,0,4/2/2022 10:16 AM
EQ ID 340,Shower Seats,1140,MotoMan Square Stock Drill,11354,MotoMan,UP50,,0,4/2/2022 10:16 AM
EQ ID 299,Grab Bars,1145,Line 4 Auto Flange Welder (Contour Arc),,Contour Arc,M-4304,,0,4/2/2022 10:16 AM
EQ ID 128,Toilet Partitions,1170,Scissor Lift,11257,Bishamon,,,0,4/2/2022 10:16 AM
EQ ID 316,Toilet Partitions,1170,Single Spindle Shaper,10790,Pertici,6800,,0,4/2/2022 10:16 AM
EQ ID 318,Toilet Partitions,1170,Laminate Slitter,10248,Mar-Bel,MLS12,,0,4/2/2022 10:16 AM
EQ ID 324,Toilet Partitions,1170,1540 Notching Machine,,P&R Tool,Custom Built,,0,4/2/2022 10:16 AM
EQ ID 292,Shower Seats,1140,Punch Press (CEC Metal Muncher),0631,CEC Metal Muncher,GB50,,0,4/2/2022 10:16 AM
EQ ID 284,Shower Seats,1140,Anver Lift,,Anver,VT200-2.5-D9,,0,4/2/2022 10:16 AM
